🔍 Auditing 138 active routes (READ-ONLY)...



+------------------------------+-----+------+------+-------+------+--------+-----------------------+
| Route                        | Dur | Segs | Rest | Costs | Itin | Status | Notes                 |
+------------------------------+-----+------+------+-------+------+--------+-----------------------+
| annapurna-base-camp          | 9   | 13   | 0    | 4     | 9    | PASS   | —                     |
| annapurna-circuit            | 15  | 16   | 2    | 4     | 15   | PASS   | —                     |
| api-himal                    | 15  | 15   | 2    | 3     | 15   | PASS   | —                     |
| baglung-kalika               | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| bajhang-bajura               | 3   | 2    | 0    | 2     | 2    | WARN   | days-2/3              |
| bandipur                     | 2   | 2    | 0    | 3     | 2    | PASS   | —                     |
| banke-tour                   | 2   | 0    | 0    | 3     | 1    | FAIL   | no-segments, days-1/2 |
| barahi-temple                | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| bardiya-trek                 | 7   | 7    | 3    | 5     | 7    | PASS   | —                     |
| barun-valley                 | 3   | 0    | 0    | 2     | 1    | FAIL   | no-segments, days-1/3 |
| begnas-rupa-lake             | 1   | 0    | 0    | 1     | 1    | FAIL   | no-segments           |
| bhaktapur-tour               | 1   | 4    | 0    | 2     | 1    | PASS   | —                     |
| bhedetar-hill                | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| bhote-koshi-bungee           | 1   | 2    | 0    | 2     | 1    | PASS   | —                     |
| bhote-koshi-rafting          | 1   | 2    | 0    | 2     | 1    | PASS   | —                     |
| biratnagar-koshi             | 1   | 3    | 0    | 2     | 1    | PASS   | —                     |
| boudhanath-tour              | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| bungamati-woodcarving        | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| butwal-siddharthanagar       | 1   | 3    | 0    | 2     | 1    | PASS   | —                     |
| chandragiri-temple           | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| changunarayan-temple         | 1   | 0    | 0    | 3     | 1    | FAIL   | no-segments           |
| chitwan-safari               | 3   | 1    | 0    | 4     | 1    | WARN   | days-1/3              |
| chobar-gorge                 | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| chola-pass                   | 15  | 7    | 0    | 3     | 6    | WARN   | days-6/15             |
| dakshinkali-temple           | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| damodar-kunda                | 14  | 15   | 2    | 4     | 14   | PASS   | —                     |
| dharan-city                  | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| dharan-dhankuta-bhedetar     | 2   | 3    | 0    | 2     | 2    | PASS   | —                     |
| dhaulagiri-circuit           | 15  | 7    | 0    | 4     | 5    | WARN   | days-5/15             |
| dhorpatan                    | 3   | 0    | 0    | 3     | 1    | FAIL   | no-segments, days-1/3 |
| dhulikhel-namobuddha         | 1   | 3    | 0    | 2     | 1    | PASS   | —                     |
| dhulikhel-scenic             | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| doleshwar-mahadev            | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| dolpo-circuit                | 20  | 23   | 6    | 3     | 20   | PASS   | —                     |
| everest-base-camp            | 14  | 15   | 1    | 3     | 14   | PASS   | —                     |
| everest-view                 | 7   | 5    | 0    | 3     | 5    | WARN   | days-5/7              |
| fewa-lake-kayaking           | 1   | 2    | 0    | 2     | 1    | PASS   | —                     |
| godavari-botanical           | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| gokyo-lakes                  | 12  | 13   | 2    | 3     | 12   | PASS   | —                     |
| gorakhnath-temple            | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| gorkha-durbar                | 1   | 0    | 0    | 3     | 1    | FAIL   | no-segments           |
| gorkha-heritage              | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| gosaikunda                   | 9   | 6    | 0    | 3     | 5    | WARN   | days-5/9              |
| gupteshwor-cave              | 1   | 0    | 0    | 3     | 1    | FAIL   | no-segments           |
| helambu-circuit              | 9   | 7    | 0    | 3     | 7    | WARN   | days-7/9              |
| hile-tea                     | 1   | 0    | 0    | 2     | 1    | FAIL   | no-segments           |
| humla                        | 15  | 15   | 1    | 3     | 15   | PASS   | —                     |
| janaki-temple-pilgrimage     | 2   | 0    | 0    | 2     | 1    | FAIL   | no-segments, days-1/2 |
