🔍 Auditing 138 active routes (READ-ONLY)...



+------------------------------+-----+------+------+-------+------+--------+------------+
| Route                        | Dur | Segs | Rest | Costs | Itin | Status | Notes      |
+------------------------------+-----+------+------+-------+------+--------+------------+
| annapurna-base-camp          | 9   | 13   | 0    | 4     | 9    | PASS   | —          |
| annapurna-circuit            | 15  | 16   | 2    | 4     | 15   | PASS   | —          |
| api-himal                    | 15  | 15   | 2    | 3     | 15   | PASS   | —          |
| baglung-kalika               | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| bajhang-bajura               | 3   | 2    | 0    | 2     | 2    | WARN   | days-2/3   |
| bandipur                     | 2   | 2    | 0    | 3     | 2    | PASS   | —          |
| banke-tour                   | 2   | 3    | 0    | 3     | 1    | WARN   | days-1/2   |
| barahi-temple                | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| bardiya-trek                 | 7   | 7    | 3    | 5     | 7    | PASS   | —          |
| barun-valley                 | 3   | 3    | 1    | 2     | 3    | PASS   | —          |
| begnas-rupa-lake             | 1   | 3    | 0    | 1     | 1    | PASS   | —          |
| bhaktapur-tour               | 1   | 4    | 0    | 2     | 1    | PASS   | —          |
| bhedetar-hill                | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| bhote-koshi-bungee           | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| bhote-koshi-rafting          | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| biratnagar-koshi             | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| boudhanath-tour              | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| bungamati-woodcarving        | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| butwal-siddharthanagar       | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| chandragiri-temple           | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| changunarayan-temple         | 1   | 3    | 0    | 3     | 1    | PASS   | —          |
| chitwan-safari               | 3   | 6    | 2    | 4     | 3    | PASS   | —          |
| chobar-gorge                 | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| chola-pass                   | 15  | 7    | 0    | 3     | 6    | WARN   | days-6/15  |
| dakshinkali-temple           | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| damodar-kunda                | 14  | 15   | 2    | 4     | 14   | PASS   | —          |
| dharan-city                  | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| dharan-dhankuta-bhedetar     | 2   | 3    | 0    | 2     | 2    | PASS   | —          |
| dhaulagiri-circuit           | 15  | 7    | 0    | 4     | 5    | WARN   | days-5/15  |
| dhorpatan                    | 3   | 3    | 0    | 3     | 3    | PASS   | —          |
| dhulikhel-namobuddha         | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| dhulikhel-scenic             | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| doleshwar-mahadev            | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| dolpo-circuit                | 20  | 23   | 6    | 3     | 20   | PASS   | —          |
| everest-base-camp            | 14  | 15   | 1    | 3     | 14   | PASS   | —          |
| everest-view                 | 7   | 7    | 2    | 3     | 7    | PASS   | —          |
| fewa-lake-kayaking           | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| godavari-botanical           | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| gokyo-lakes                  | 12  | 13   | 2    | 3     | 12   | PASS   | —          |
| gorakhnath-temple            | 1   | 3    | 0    | 2     | 1    | PASS   | —          |
| gorkha-durbar                | 1   | 3    | 0    | 3     | 1    | PASS   | —          |
| gorkha-heritage              | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| gosaikunda                   | 9   | 9    | 3    | 3     | 9    | PASS   | —          |
| gupteshwor-cave              | 1   | 3    | 0    | 3     | 1    | PASS   | —          |
| helambu-circuit              | 9   | 9    | 2    | 3     | 9    | PASS   | —          |
| hile-tea                     | 1   | 2    | 0    | 2     | 1    | PASS   | —          |
| humla                        | 15  | 15   | 1    | 3     | 15   | PASS   | —          |
| janaki-temple-pilgrimage     | 2   | 3    | 0    | 2     | 1    | WARN   | days-1/2   |
| janakpur-tour                | 2   | 2    | 0    | 3     | 1    | WARN   | days-1/2   |
| jomsom-kagbeni-muktinath     | 3   | 3    | 0    | 3     | 3    | PASS   | —          |
| jomsom-muktinath             | 7   | 7    | 3    | 3     | 7    | PASS   | —          |
